accidentId,placeId,relationship,distance_m
AE_FIRE_PT_00056,P350,OCCURRED_AT,638
AE_FIRE_PT_00057,P350,OCCURRED_AT,638
AE_FIRE_PT_00059,P468,OCCURRED_AT,431
AE_FIRE_PT_00060,P468,OCCURRED_AT,431
AE_FIRE_PT_00061,P468,OCCURRED_AT,431
AE_FIRE_PT_00062,P468,OCCURRED_AT,431
AE_FIRE_PT_00063,P454,OCCURRED_AT,170
AE_FIRE_PT_00064,P558,OCCURRED_AT,697
AE_FIRE_PT_00065,P760,OCCURRED_AT,901
AE_FIRE_PT_00066,P760,OCCURRED_AT,901
AE_FIRE_PT_00067,P473,OCCURRED_AT,336
AE_FIRE_PT_00069,P699,OCCURRED_AT,225
AE_FIRE_PT_00070,P348,OCCURRED_AT,17
AE_FIRE_PT_00071,P151,OCCURRED_AT,19
AE_FIRE_PT_00072,P122,OCCURRED_AT,577
AE_FIRE_PT_00074,P131,OCCURRED_AT,217
AE_FIRE_PT_00077,P070,OCCURRED_AT,228
AE_FIRE_PT_00078,P418,OCCURRED_AT,82
AE_FIRE_PT_00079,P455,OCCURRED_AT,216
AE_FIRE_PT_00080,P455,OCCURRED_AT,216
AE_FIRE_PT_00081,P455,OCCURRED_AT,216
AE_FIRE_PT_00082,P455,OCCURRED_AT,216
AE_FIRE_PT_00083,P999,OCCURRED_AT,137
AE_FIRE_PT_00084,P979,OCCURRED_AT,66
AE_FIRE_PT_00085,P275,OCCURRED_AT,530
AE_FIRE_PT_00086,P807,OCCURRED_AT,355
AE_FIRE_PT_00087,P807,OCCURRED_AT,355
AE_FIRE_PT_00088,P807,OCCURRED_AT,355
AE_FIRE_PT_00089,P047,OCCURRED_AT,153
AE_FIRE_PT_00090,P047,OCCURRED_AT,153
AE_FIRE_PT_00091,P969,OCCURRED_AT,114
AE_FIRE_PT_00093,P319,OCCURRED_AT,592
AE_FIRE_PT_00094,P188,OCCURRED_AT,482
AE_FIRE_PT_00095,P785,OCCURRED_AT,228
AE_FIRE_PT_00096,P785,OCCURRED_AT,228
AE_FIRE_PT_00097,P576,OCCURRED_AT,32
AE_FIRE_PT_00098,P251,OCCURRED_AT,186
AE_FIRE_PT_00099,P171,OCCURRED_AT,220
AE_FIRE_PT_00100,P002,OCCURRED_AT,171
AE_FIRE_PT_00101,P942,OCCURRED_AT,386
AE_FIRE_PT_00102,P999,OCCURRED_AT,164
AE_FIRE_PT_00103,P999,OCCURRED_AT,164
AE_FIRE_PT_00104,P044,OCCURRED_AT,94
AE_FIRE_PT_00105,P533,OCCURRED_AT,308
AE_FIRE_PT_00106,P207,OCCURRED_AT,94
AE_FIRE_PT_00107,P357,OCCURRED_AT,728
AE_FIRE_PT_00108,P388,OCCURRED_AT,217
AE_FIRE_PT_00109,P001,OCCURRED_AT,250
AE_FIRE_PT_00110,P939,OCCURRED_AT,102
AE_FIRE_PT_00111,P939,OCCURRED_AT,102
AE_FIRE_PT_00113,P338,OCCURRED_AT,169
AE_FIRE_PT_00114,P083,OCCURRED_AT,705
AE_FIRE_PT_00118,P113,OCCURRED_AT,193
AE_FIRE_PT_00119,P898,OCCURRED_AT,237
AE_FIRE_PT_00120,P031,OCCURRED_AT,606
AE_FIRE_PT_00121,P904,OCCURRED_AT,611
AE_FIRE_PT_00122,P543,OCCURRED_AT,863
AE_FIRE_PT_00123,P543,OCCURRED_AT,863
AE_FIRE_PT_00124,P756,OCCURRED_AT,163
AE_FIRE_PT_00125,P005,OCCURRED_AT,84
AE_FIRE_PT_00126,P973,OCCURRED_AT,681
AE_FIRE_PT_00127,P392,OCCURRED_AT,368
