risk_id,placeId,relationship
RP_WIND_02,P872,APPLIES_TO
RP_WIND_02,P873,APPLIES_TO
RP_WIND_02,P874,APPLIES_TO
RP_WIND_02,P875,APPLIES_TO
RP_WIND_02,P876,APPLIES_TO
RP_WIND_02,P877,APPLIES_TO
RP_WIND_02,P878,APPLIES_TO
RP_WIND_02,P879,APPLIES_TO
RP_WIND_02,P880,APPLIES_TO
RP_WIND_02,P881,APPLIES_TO
RP_WIND_02,P882,APPLIES_TO
RP_WIND_02,P883,APPLIES_TO
RP_WIND_02,P884,APPLIES_TO
RP_WIND_02,P885,APPLIES_TO
RP_WIND_02,P886,APPLIES_TO
RP_WIND_02,P887,APPLIES_TO
RP_WIND_02,P888,APPLIES_TO
RP_WIND_02,P889,APPLIES_TO
RP_WIND_02,P890,APPLIES_TO
RP_WIND_02,P891,APPLIES_TO
RP_WIND_02,P892,APPLIES_TO
RP_WIND_02,P893,APPLIES_TO
RP_WIND_02,P894,APPLIES_TO
RP_WIND_02,P895,APPLIES_TO
RP_WIND_02,P896,APPLIES_TO
RP_WIND_02,P897,APPLIES_TO
RP_WIND_02,P898,APPLIES_TO
RP_WIND_02,P899,APPLIES_TO
RP_WIND_02,P900,APPLIES_TO
RP_WIND_02,P901,APPLIES_TO
